air_date,time,artist,song,album,release,local,duration,label,hint
2025-04-29,20:52,AH*NEE*MAH,Dream Catcher,Ancient Voices,2021,,5:09,Green Hill Productions,may actually be: Diane Arkenstone (Ah Nee Mah) — Dream Catcher
2025-04-29,21:44,Schiller,Lichtwerk,Day & Night,2005,,3:31,Sleepingroom Musik,
2025-05-13,21:28,Andreas Vollenweider,The Stone (Close Up),White Winds (Seeker's Journey),1984,,3:02,AVAF Music,
2025-05-13,21:36,Amethystium,Ethereal,Odonata,2001,,4:21,Neurodisc Records,
2025-05-13,21:42,AeTopus,Decima Milia,iota,2025,,4:31,Spotted Peccary,
2025-05-13,22:09,Yes,The Gates of Delirium,Progressive Artistry,1900,,21:55,Rhino Elektra,
2025-05-13,22:19,Jackin' Social Club,Missing You,Missing You,2020,,5:55,Jackin' Social Club,
2025-05-13,22:21,Thomas Newman,Any Other Name,American Beauty (Soundtrack),2020,,4:07,"UMG Recordings, Inc.",
2025-05-13,22:26,Pink Floyd,One of These Days,Meddle,2016,,5:56,Pink Floyd Music Ltd,
2025-05-27,22:11,Mina,Unsung Heroes,Lost And Remembered,2023,,4:26,Altar Records,
2025-06-10,21:40,Jon Jenkins,Tugging At The Cloud,Continuum,1995,,3:09,Spotted Peccary,
2025-06-10,22:08,Ray Lynch,Tiny Geometries / Ray Lynch,Deep Breakfast,1984,,6:01,Ray Lynch Productions,
2025-06-24,21:34,Dead Can Dance,"Compassion - Live from Paramount Theatre, Seattle, WA. September 17th, 2005","Live from Paramount Theatre, Seattle, WA. September 17th, 2005",2005,,5:14,The Show,
2025-06-24,22:26,Dredkid,Nortenegro,8 Imaginario,2016,,3:40,Quiroga Finest Records,
2025-07-22,21:05,David Gilmour,Between Two Points (with Romany Gilmour),Between Two Points (with Romany Gilmour),2024,,5:47,Legacy Recordings,
2025-07-22,21:49,Late Night Tales,Trentemøller Late Night Tales Continuous Mix,Late Night Tales: Trentemøller,,,10:00,,
2025-07-22,22:08,HeatleyBros,Alien Imposter,HeatleyBros VI,2023,,3:20,Kyzen Music,
2025-07-22,22:29,The Chemical Brothers,The Sunshine Underground,Surrender,1999,,8:39,Virgin Records,
2025-08-19,22:13,Julien Baker,Me & My Dog,Me & My Dog,2018,,3:26,Matador,
2025-09-02,20:57,Orville Johnson,Waggy Tail,Freehand,2003,,3:11,OJM,
2025-09-02,21:25,Daniele Ravaioli,02 Sequence - Drum Loop (122bpm),Melodic House & Techno Drum Loops Vol.2,2020,,5:22,Danirava Records Samples Area,
2025-09-02,21:42,Evan Marc,Hypnopomp,Dreamtime Submersible,2008,,10:04,Somnia,
2025-09-02,22:24,Laurel Halo,Earthbound,Atlas,2023,,4:16,Awe,
2025-09-16,21:15,Claude Challe,Drama Of Japan,Buddha-Bar.II,,,6:10,Wagram,may actually be: La Roca — Drama Of Japan
2025-09-30,20:33,Thiago SKP,Pessoas,Eu Só Volto Com a Vitória,2023,,2:33,Thiago SKP,
2025-09-30,20:44,The Velvet Underground,Ocean - Session Outtake; 2015 Remaster,Loaded (2015 Remaster),2015,,5:44,Atlantic Records,may actually be: The Velvet Underground — Ocean
2025-09-30,21:04,The Dalai Lama Rama Fa Fa Fa,Sun,Single (B-Side),2012,,,Close Up Records,
2025-09-30,21:16,La Roca,Drama Of Japan,Buddah Bar II (Compilation),2000,,,Chall'O Music,
2025-09-30,22:08,Daryl Groetsch,Above the Shore (Radio Edit),Above the Shore,2024,,5:14,Daryl Groetsch,may actually be: Terminus Void — Zero Gravity
2025-09-30,22:13,Galactic Sound Station,Zero Gravity,"Music for the Mental Health of Astronauts, Vol. 1",2025,,5:57,Galactic Sound Station,
2025-11-11,20:59,Rainbow The Ghost,Glitter and Bone,Rainbow the Ghost,2023,,3:42,Rainbow the Ghost Music,
2025-11-11,21:34,OMRI.,Nothing Wrong - Love Mix,Nothing Wrong,2025,,3:25,Crosstown Rebels,
2025-11-25,21:56,The Crystals,Santa Claus Is Coming to Town,Hjerternes fest 2020,2010,,3:24,UMOD (Universal Music On Demand),
2025-12-09,20:32,SickTanicK,Stripped (Leah Sublime),Oculus Omnia,2017,,4:01,Serial Killin Records,
