
Fleet Foxes	Can I Believe You (Solstice Version)	4:00
Pure Bathing Culture	2000 Miles	3:39
Caroline Polachek	So Cold You're Hurting My Feelings	3:10
Future Islands	Last Christmas	4:40
Cocteau Twins	Frosty The Snowman	2:55
Sally Shapiro	Holiday	5:04
Khruangbin	Christmas Time Is Here	3:26
Clannad	Newgrange (2003 - Remaster)	4:06
Friedemann	The Man From Caesarea	4:46
Erwilian	Whiteout	5:36
"Ralph Towner, Jan Garbarek, Eberhard Weber, Jon Christensen"	Winter Solstice	4:02
Jose 'Juicy' Gonzales Trio	O Tannenbaum	5:53
David Arkenstone	Darkening Skies	3:55
Low	Little Drummer Boy	4:52
Ryuichi Sakamoto	MERRY CHRISTMAS MR. LAWRENCE - ELECTRIC YOUTH REMODEL	5:10
Michael Stearns	"Corridors of Time - 2022 Remaster, Film Printmaster Stereo Fold-down"	7:43
Paul Ellis	Blue Ice	3:14
Dreamstate Logic	Transmissions From Alcyone	7:36
Steve Roach	Kingfisher Flight.	7:00
SUSS	Winter Was Hard	1:43
Luke Wyland	Pendulum (Live)	4:08
Sin Fang/Kjartan Holm/Fischersund	In The Bleak Midwinter Re-Imagined	3:29
Mount Shrine	Moon's Distrust	5:43
Beno”t Pioulard	The accident of nature	4:55
Carbon In Prose	The Cold Sea	3:37
Fischersund	Heims Um B—l Re-Imagined	3:00
SUSS	"Winter Was Hard, Reprise"	1:40
