position,artist,song,time,album,label,notes
1,Noble Oak,Anywhere but Here,,When It Finds You,Last Gang Records,
2,Classixx,Hanging Gardens,,Hanging Gardens,Innovative Leisure,
3,CHVRCHES + Robert Smith,How Not to Drown,,Screen Violence,Glassnote,
4,Future Islands,For Sure,,As Long as you Are,4AD,
5,Colloboh ft. Qur’an Shaheed,Mystic You,,Saana Sahel EP,,
6,Gogo Penguin,Saturnine,,Everything is going to be OK,XXIM Records,
7,Hello Meteor,Earth Journos,,Earth Journos,,
8,Suso Saiz,Linda Cubana,,Odisea,Music from Memory,
9,Pat Metheny Group,Phase Dance,,Pat Metheny Group,ECM,
10,"Howard Givens, Madhavi Devi, Craig Padilla",Vibrance of Life,,Precipice of a Dream – Live from Soundquest Fest 2021,Spotted Peccary,
11,David Arkenstone,Ancient legend,,Valley in the Clouds,Narada Equinox,
12,Fleetwood Mac,Seven Wonders,,Tango in the Night,Warner Bros,
13,End,Segment,,One,,
14,Norm Chambers,Crossing Over,,Holodeck Vision One,Holodeck Records,
15,Suzanne Ciani,Tide Pools,,Tide Pools,Deutsche Grammophon,
16,Marc Barreca,Shopping,,Music Works for Industry,Freedom to Spend,
17,Bitchin Bajas,Amorpha,,Bajascillators,Drag City,
18,Shannon Hayden,Blown Away,,Solid State Cello,,
19,John Coltrane,Pt 1 – Acknowledgement,,A Love Supreme,Impulse!,
20,Jarguna,A Perfect Hazy Day,,Granular Day in the Blue,Projekt,
21,Matthewdavid,Zithertronix,,Mycellium Music,Leaving Records,
22,Arushi Jain,Is it Love,,With & Without,,
23,End,Convergence,,Zone,008,
