position,artist,song,time,album,label,notes
1,Fleet Foxes,Can I Believe You (Solstice Version),0:00,A Very Lonely Solstice,,Recorded live at St. Ann & Holy Trinity Church in Brooklyn for a December 2020 stream
2,Cocteau Twins,Fifty-Fifty Clown,3:55,BBC Sessions,,BBC Radio London set hosted by Robert Elms in 1996
3,Dead Can Dance,Rakim,8:17,Live at Paramount Theatre Seattle – 2005,,Seattle stop on the 2005 world tour
4,LCD Soundsystem,Someone Great,14:08,The Long Goodbye,,Madison Square Garden April 2 2011; at time was their “last show ever”
5,Peter Gabriel,In Your Eyes,20:53,Secret World Live,,"Secret World Live Tour, recorded in Modena Italy – supported by Paula Cole, with cameo Papa Wemba – Congolese king of Rumba Rock"
6,Loreena McKennit,Night Ride Across the Caucasus,32:07,Live in Paris and Toronto,,"Salle Pleyel, Paris on 1998 world tour"
7,Kitaro,Caravansary,38:10,Live in America,,Fox Theatre in Atlanta on 1990 US tour
8,Redshift,Pyro_Gen,43:59,Faultline,,"Hampshire Jam 2 in the UK, 2002"
9,One,End,59:00,Segment,,
10,Tangerine Dream,Cherokee Lane,1:00:00,Encore,,Spring 1977 sold-out tour in the US – compiled from different recordings of the opening track over multiple nights
11,Suzanne Ciani,Heartbeats,1:16:24,Improvisation on Four Sequences at Festival Antigel,,"Live in Seattle on Saturday May 20, 2023! Reflections (ageofreflections.com)"
12,Rudy Adrian,Three Views of a Japanese Garden Pt 2,1:20:33,Moonwater,,Live improvisation on a single synth – the Yamaha SY77
13,Node,Shinkansen North,1:31:16,Node Live (DiN55),,London Royal College of Music in 2015
14,Steve Roach,Continent in View (Excerpt),1:45:07,Steve Roach Live Trans-Sonic Festival (subscriber exclusive),,May 1986 Trans-Sonic Festival – Harrison Audiitorium at University of Pennsylvania
15,Steve Roach,Levels,1:47:36,Steve Roach Live Trans-Sonic Festival (subscriber exclusive),,May 1986 Trans-Sonic Festival – Harrison Audiitorium at University of Pennsylvania
