position,artist,song,time,album,label,notes
1,Fhloston Paradigm feat. Jacqueline Constance,…GLOW,00:00,AFTER…,,Afro-futurist side project of Philly musician King Britt
2,Fyling Lotus & Niki Randa,Between Memories,07:02,Yasuke,,Music from six-part TV series
3,Qu’ran Shaheed,Thrive,08:33,Lefto Early Bird presents The Beauty is Inside,,Pasadena Compilation by Belgiun DJ Lefto
4,L’Rain,Not Now,14:40,Fatigue,,Brooklyn taja cheek
5,Kokoroko,Ewa Inu (ehWA iNOO),19:12,Could We Be More,,August 2022; channeling the greats of W Africa
6,Dorothy Ashby,Joyful Grass and Grape,25:50,The Rubiyat of Dorothy Ashby,,1970 on Cadet
7,Laraaji,Ocean Glimpse,29:23,Koto,,"2023 algum Edward Larry Gordon, dulcimers and zithers, 1980 Ambient 3 album produced by Brian Eno"
8,Art Ensemble of Chicago Lester Bowie,Rios Negroes,33:01,The Great Pretender,,1981
9,Alice Coltrane Ravi Coltrane Oran Coltrane Jack DeJohnette Charlie Haden,Crescent,40:13,Translinear Light,,200 4
10,Makaya McCraven,Crash Course,46:29,Lefto Early Bird presents The Beauty is Inside,,Compilation by Belgiun DJ Lefto
11,The Detroit Escalator Co,The Inverted Man (Dreaming),50:57,Black Buildings,,2002 on Peacefrog records
12,Yves Tumor,Limerence,53:31,PAN records compilation – mono no aware,,
13,end,segment,one,,,
14,Colloboh,Acid Sunrise,01:00:00,Saana Sahel EP,,
15,Jayme Rose Hennegan,Through the Healing,01:05:30,Time Ritual,,
16,Claude Young Jr.,Sedna 90377,01:11:31,Celestial Bodies,,Detroit techno producer moving to space music Evidence for a planet beyond the orbit of Neptune? Discovered in 2003
17,The Detroit Escalator Co,Folding Space,01:19:00,Black Buildings,,
18,Robbiee Elizee,Smoking Wet,01:21:43,Cull,,"Louisville, Kentucky musician"
19,Klein,Shot in the dark,01:23:56,Shot in the dark,,
20,Wayne Phoenix,…and sleepless skies,01:27:38,Soaring wayne phoenix story the earth,,
21,Space Afrika,Version 3,01:35:23,Untitled (To Describe You) OST,,Short film from Tibyan Mahwah Sanoh Manchester UK duo
22,Robert Aiki Aubrey Lowe,Dix Voix,01:39:21,Notes Above Land,,Live rehearsel in San Francisco 2015 Brooklyn artist
23,Robbie Elizee,"SOMMA 8,9",01:47:58,Cull,,2020 compilation of remixes of The Conet Project – recordings of shortwave Numbers Stations
24,Laaraji,Koto Glimpse,01:50:32,Koto,,
25,KMRU kamaru & Echium,Unending,01:54:32,Peripheral,,
