position,artist,song,time,album,label,notes
1,Robert Almblade & Carolyn Cruso,Okanagan,00:00,The Fifth Element,,
2,Erwilian,Cascadia,02:50,Cascadia,,
3,Erwilian,Fantasy & Dance,,Cascadia,,
4,Doug Cameron,The Journey,08:46,Mil Amores,,
5,Mannheim Steamroller,Toccata,13:23,Fresh Aire III,,
6,One Dove,White Love (radio mix),18:00,Morning Dove White,,
7,Pure Bathing Culture,City of Mirrors,22:29,Roxi’s Dream Pt I,,
8,Cavern of Anti-Matter,Melody in high feedback tones,28:01,Void beats/invocation trex,,
9,"Sin Fang, Kjartan Holm, Fischersund",Ljo​́​sin kveikt,31:48,Ljo​́​sin kveikt,,
10,"Jonsi, Alex Somers, Sin fang Kjartan Holm",Stafafura,37:12,Sounds of Fischer volume one,,
11,M3NASH,Composure of Loneliness,38:39,Declive,,
12,Lisa Bella Donna,Night Flight,49:28,Night Flight,,
13,Uh,prelude,01:00:00,humanus,,
14,Uh,attention,,humanus,,
15,The Fragile Fate,Float,01:11:03,Liliam Ocean,,
16,AirSculpture,On Writing,01:19:09,BERLIN: a tribute for Mark Shreeve,,
17,One Arc Degree,Time Invariance,01:27:24,The Forest and the Milky Way,,
18,Ron Boots,Where Are They Now,01:34:33,BERLIN: a tribute for Mark Shreeve,,
19,Chuck van Zyl,The Face of the Night (YouTube edit),01:43:48,Passages,,
20,Saroon,Mall of the Bardo – Traffic Operators on the Transmigration Highway,01:52:26,Gilgul,,
