position,artist,song,time,album,label,notes
1,Numbers stations,"The Lincolnshire Poacher, Skyking, and others",,,,
2,Bacao Rhythm & Steel Band,Halloween Theme,00:00,,,
3,Soft Release,Broken Number 13,01:42,,,
4,The Cure,Burn,05:16,,,
5,Echo And The Bunnymen,The Killing Moon,12:50,,,
6,ACTORS,L’appel Du Vide,18:25,,,
7,Siouxsie And The Banshees,Cities In Dust,21:39,,,
8,Depeche Mode,Rush - 2006 Remastered Version,26:19,,,
9,LEATHERS,Phantom Heart,30:31,,,
10,New Order,The Perfect Kiss (2022 Digital Master),34:18,,,
11,Molchat Doma,Судно (Борис Рижий),39:34,,,
12,Bauhaus,Dark Entries,41:47,,,
13,Nine Inch Nails,Burn,45:36,,,
14,The Sisters of Mercy,This Corrosion (excerpt),50:26,,,
15,Lycia,In Flickers,58:56,,,
16,Tom Waits,What’s He Building?,01:02:01,,,
17,M83,Car Chase Terror,01:05:12,,,
18,B.Michaael,Dying Waves,01:09:56,,,
19,The Soulless Party,Vigilamus,01:13:40,,,
20,Nicholas Bullen,When They Return,01:17:30,,,
21,Buried Marie,White Night,01:23:25,,,
22,Chuck van Zyl,News Flash,01:31:00,,,
23,Scott Lawlor,Crossing the Veil,01:48:00,,,
