position,artist,song,time,album,label,notes
1,FM Attack,Timeless,00:00,,,
2,NAVVI,Clemency,04:38,,,
3,Future Islands,The Tower,09:56,,,
4,Hibou,Night Fell,13:28,,,
5,Echo of the Low Light,Disco,19:30,,,
6,Altin Gün,Rakıya Su Katamam,23:36,,,
7,King Gizzard & The Lizard Wizard,The Silver Cord,27:16,,,
8,Pure Bathing Culture,The Memento,33:35,,,
9,Crumb & Melody’s Echo Chamber,Le Temple Volant,37:22,,,
10,NCY Milky Band,Aphex Twin,39:17,,,
11,Hello Meteor,Earth Journos,43:59,,,
12,Saloli,Waterfall,47:00,,,
13,Pabellón Sintético,Bauhaus,51:25,,,
14,Brendan Pollard,Steel Blue Sphere,59:31,,,
15,Dreamstate Logic,Lost But Not Forgotten,01:02:34,,,
16,AeTopus,Sundial,01:11:17,,,
17,Omni Gardens,Rain Jacket,01:18:19,,,
18,Volcano Lazerbeam,At Sea,01:21:14,,,
19,Terminus Void,Flow of Order,01:29:46,,,
20,Erwilian,Masters in This Hall (Live),01:36:15,,,
21,Makushin,No More Rush Hour,01:43:20,,,
22,David Arkenstone,Darkening Skies,01:49:29,,,
23,Mount Maxwell,Sky Eye,01:53:07,,,
24,Hotel Pools,Metro 地​下​鉄,01:58:17,,,
