position,artist,song,time,album,label,notes
1,Fleet Foxes,Can I Believe You (Solstice Version),00:00,,,
2,Pure Bathing Culture,2000 Miles,04:02,,,
3,Caroline Polachek,So Cold You’re Hurting My Feelings,07:01,,,
4,Future Islands,Last Christmas,10:11,,,
5,Cocteau Twins,Frosty The Snowman,14:51,,,
6,Sally Shapiro,Holiday,17:13,,,
7,Khruangbin,Christmas Time Is Here,24:38,,,
8,Clannad,Newgrange (2003 - Remaster),28:04,,,
9,Friedemann,The Man From Caesarea,32:10,,,
10,Erwilian,Whiteout,37:19,,,
11,"Ralph Towner, Jan Garbarek, Eberhard Weber, Jon Christensen",Winter Solstice,48:10,,,
12,Jose ‘Juicy’ Gonzales Trio,O Tannenbaum,52:55,,,
13,David Arkenstone,Darkening Skies,54:35,,,
14,Low,Little Drummer Boy,58:32,,,
15,Ryuichi Sakamoto,MERRY CHRISTMAS MR. LAWRENCE - ELECTRIC YOUTH REMODEL,01:03:24,,,
16,Michael Stearns,"Corridors of Time - 2022 Remaster, Film Printmaster Stereo Fold-down",01:05:47,,,
17,Paul Ellis,Blue Ice,01:13:45,,,
18,Dreamstate Logic,Transmissions From Alcyone,01:16:51,,,
19,Steve Roach,Kingfisher Flight.,01:23:20,,,
20,SUSS,Winter Was Hard,01:30:20,,,
21,Luke Wyland,Pendulum (Live),01:33:27,,,
22,Sin Fang/Kjartan Holm/Fischersund,In The Bleak Midwinter Re-Imagined,01:39:03,,,
23,Mount Shrine,Moon’s Distrust,01:42:17,,,
24,Benoît Pioulard,The accident of nature,01:48:00,,,
25,Carbon In Prose,The Cold Sea,01:53:20,,,
26,Fischersund,Heims Um Ból Re-Imagined,01:56:10,,,
27,SUSS,"Winter Was Hard, Reprise",01:58:28,,,
