position,artist,song,time,album,label,notes
1,Lusine,Cut and Cover,00:00,,,
2,The Cure,A Forest - Tree Mix [Remastered],02:55,,,
3,New Order,Dreams Never End (2019 Remaster),08:50,,,
4,Nation of Language,Across That Fine Line,12:40,,,
5,Drab Majesty,Induction,18:27,,,
6,Drab Majesty,Dot in the Sky,19:13,,,
7,Garbage,Cities in Dust,24:28,,,
8,Romare,Dreams,28:07,,,
9,Classixx,Hanging Gardens,33:35,,,
10,Mylo,In My Arms - Radio Edit,38:40,,,
11,Holy Ghost!,Bridge & Tunnel,42:15,,,
12,Giorgio Moroder,Chase,46:18,,,
13,Donna Summer,I Feel Love - 12″ Version (Excerpt),54:08,,,
14,Khruangbin,Time (You and I) (Put a Smile on DJ’s Face Mix),59:47,,,
15,Brothertiger,Everybody Wants to Rule the World,01:09:09,,,
16,Holy Fuck,Free Gloss (feat. Nicholas Allbrook),01:12:32,,,
17,Deep Forest,While the Earth Sleeps - Long Version,01:19:05,,,
18,The Shamen,Move Any Mountian,01:25:23,,,
19,Influx,Revel Dub [Influx],01:29:52,,,
20,Belinda Carlisle,Heaven Is a Place on Earth (Heavenly Version),01:34:19,,,
21,Roosevelt,Everywhere,01:40:00,,,
22,Information Society,"Peace and Love, Inc.",01:43:14,,,
23,Depeche Mode,Never Let Me Down Again - Eric Prydz Remix,01:47:23,,,
24,Orbital,The Girl with the Sun in Her Head - Lone Remix,01:54:08,,,
