position,artist,song,time,album,label,notes
1,Destroyer,Savage Night at the Opera,00:00,,,
2,The The,Slow Emotion Replay,03:14,,,
3,Pure Bathing Culture,Devotion,07:01,,,
4,Slowdive,kisses,10:20,,,
5,Tori Amos,Caught a Lite Sneeze (Remastered),16:11,,,
6,Cocteau Twins,Ivo,20:31,,,
7,Soft Release,Find You Later,24:24,,,
8,Joy Division,Transmission,28:18,,,
9,Hello Meteor,The Northern Rim Archipelago,33:32,,,
10,Zak Vortex,Afterhours,36:50,,,
11,FM Attack,City Lights,40:09,,,
12,Hollan Holmes,Order Out Of Chaos,43:24,,,
13,Palancar,Voice from the Outer World,49:00,,,
14,Norm Chambers,Patternmusik,52:37,,,
15,Kaitlyn Aurelia Smith,Check Your Translation - Hrishikesh Hirway Remix,58:11,,,
16,Cool Maritime,Secret of the Megafauna,01:01:11,,,
17,Bruce Mitchell,Dharma,01:06:41,,,
18,Iasos,Rainbow Canyon,01:10:06,,,
19,Iasos,Lagoon Night,01:15:04,,,
20,Iasos,Ulura Lagoon-S,01:17:51,,,
21,Constance Demby,Om Mani Padme Hum,01:23:31,,,
22,Extraworld,Trireme Approach,01:32:36,,,
23,Hello Meteor,Device Security,01:38:45,,,
24,Robert Rich,Galvanic Response (Live),01:43:52,,,
25,Steve Roach,Spirals of Compassion (Live),01:52:05,,,
