position,artist,song,time,album,label,notes
1,Corey Holms,Containment Dilation,00:00,,,
2,Mini Disc,Frutiger Aero,05:55,,,
3,Martin Gore,Europa Hymn,08:55,,,
4,Hello Meteor,Dusk Weather,12:22,,,
5,Checkfield,Through the Lens,16:47,,,
6,Azymuth,Quiet Storm,21:18,,,
7,Yuri Misumi,The Wonderful Star’s Walk Is Wonderful (ステキ星のさんぽはステキ),25:50,,,
8,Mt Fog,Dreams are Heavy,26:44,,,
9,FUNERALHOMES,Santa Cruz,30:19,,,
10,Conchúr White,Red House Parlour,32:17,,,
11,Naafi,Magnolia,37:06,,,
12,Byron Metcalf,A Teacher Appears,40:08,,,
13,Suzanne Ciani,Session 074,50:47,,,
14,Grizzly Bear,Sleeping Ute (Nicolas Jaar Remix),59:43,,,
15,Hollan Holmes,Drawn To An Intangible Energy,01:07:13,,,
16,Steve Roach,"The Desert Winds of Change, Pt. 3",01:14:40,,,
17,Nacht Plank,Lorotheato (Moss Garden Repaint),01:21:07,,,
18,"Sumner James, Robert Chamberlain, Volcano Lazerbeam & Saroon",Bathypalegic,01:28:44,,,
19,Jeff Greinke,Late Rain at the Station,01:32:07,,,
20,Benoît Pioulard,Ink Scrape,01:41:01,,,
21,Ketil Bjørnstad & David Darling,The River 7,01:42:17,,,
22,Ray Lynch,Drifted In A Deeper Land,01:51:00,,,
