position,artist,song,time,album,label,notes
1,Nakhane,Do You Well (feat. Perfume Genius),00:00,,,
2,LCD Soundsystem,Get Innocuous!,01:37,,,
3,ACTORS,L’appel Du Vide,08:11,,,
4,The Cure,Just Like Heaven,11:57,,,
5,Ladytron,Ladybird,17:23,,,
6,Kraftwerk,The Model,21:47,,,
7,Lemonade,Ice Water,25:25,,,
8,Depeche Mode,Enjoy The Silence - 2006 Digital Remaster,31:09,,,
9,Destroyer,It Just Doesn’t Happen,35:34,,,
10,Hibou,Amethyst,40:35,,,
11,Holy Ghost!,"Epton on Broadway, Pt. 1",44:43,,,
12,Holy Ghost!,Epton on Broadway (Part II),49:10,,,
13,Massive Attack,Blue Lines - 2012 Mix/Master,52:15,,,
14,Style King of the Week,Eerie Blvd.,56:37,,,
15,Little H Collective,Avalanche Pass (radio edit),01:00:22,,,
16,Soft Mirage,Courtyards of Atlantis,01:06:45,,,
17,Andreas Vollenweider,Night Fire Dance,01:11:42,,,
18,Pat Metheny Group,The First Circle,01:16:23,,,
19,Vijay Iyer,Tempest,01:26:31,,,
20,Matthew Halsall,Calder Shapes,01:33:42,,,
21,Colin Chin,The Alluvial Plains,01:40:40,,,
22,Arin Aksberg,Homecoming feat. Sam Rosenthal,01:49:21,,,
23,Eydís Evensen,Dreaming of Light,01:55:52,,,
