position,artist,song,time,album,label,notes
1,Patricia Wolf,Pacific Coast Highway,,See – Through,,
2,Echo of the Low Light,Shipwreck – Instrumental,,Shipwreck (Instrumental),,
3,Still Corners,Midnight Drive,,Strange Pleasures,,
4,Slowdive,shanty,,everything is alive,,
5,Talk Talk,Such a Shame (Remastered 1997),,It’s My Life (Remastered 1997),,
6,Echo & The Bunnymen,Lips Like Sugar,,Echo & the Bunnymen (Bonus Tracks Edition) [2004 Remaster],,
7,LEATHERS,Crash,,Artoffact Records,,
8,Drab Majesty,Induction,,The Demonstration,,
9,Drab Majesty,Dot in the Sky,,The Demonstration,,
10,New Order,Dreams Never End (2019 Remaster),,Movement (Definitive) [2019 Remaster],,
11,Soft Release,Broken Number 13,,Broken Number 13 – Single,,
12,FM Attack,Mixed Signals,,Dreamatic,,
13,Caroline Polachek,Butterfly Net (feat. Weyes Blood),,Butterfly Net (feat. Weyes Blood),,
14,Panabrite,The Air-Conditioned Forest,,Paramount Hexagon,,
15,Omni Gardens,Wild Marionberries,,Golden Pear,,
16,Paul Speer & David Lanz,Rain Forest,,Natural States,,
17,Pauline Anna Strom,Morning Splendor,,Trans-Millenia Consort,,
18,Garden of Magic,Feel,,Feel (Single),,
19,The Detroit Escalator Co.,Point Of Entry,,Black Buildings,,
20,Deborah Martin & Erik Wøllo,Fort Apache Meadowlarks,,Kinishba,,
21,Jill Haley & Eykamp String Quartet,Athabaskan,,Alaskan Soundscapes: Music for Wrangell-St. Elias and Kenai Fjords National Parks,,
22,Leslee Smucker,Fixed Hills,,Breathing Landscape,,
23,Steve Roach & Erik Wøllo,Stream of Thought 13,,Stream of Thought,,
24,Elbow,Mercy Street,,Mercy Street,,
25,André 3000,"Ants To You, Gods To Who ? (excerpt)",,New Blue Sun,,
