position,artist,song,time,album,label,notes
1,Norm Chambers,Music for the Dome (excerpt),00:00,,,
2,Tangerine Dream,Phaedra,03:58,,,
3,Hélène Vogelsinger,Incantation,20:24,,,
4,Ron Boots,Where Are They Now?,26:30,,,
5,Tangerine Dream,Mysterious Semblance At The Strand Of Nightmares,37:30,,,
6,[‘ramp],salomon’s road,47:41,,,
7,Tangerine Dream,Movements Of A Visionary - Remastered 2018,58:19,,,
8,Redshift,Bombers in the Desert,01:05:55,,,
9,Perge,Anfa (Part 1),01:16:15,,,
10,Bernhard Wöstheinrich,Pixel (excerpt),01:31:57,,,
11,Lisa Bella Donna,Inner Space,01:46:15,,,
12,Steve Roach,Seeking,01:52:43,,,
13,Tangerine Dream,Sequent “C”,01:58:24,,,
14,Norm Chambers,Music for the Dome (excerpt),02:00:54,,,
