position,artist,song,time,album,label,notes
1,Meltt,"Within You, Within Me",,"Within You, Within Me",,
2,Altin Gün,Ordunun Dereleri,,Yol,,
3,Mt Fog,"I am the Sea, You are the Clouds",,"I am the Sea, You are the Clouds",,
4,Midnight High,Domino,,Domino,,
5,Caroline Polachek,Spring Is Coming With A Strawberry In The Mouth,,"Desire, I Want To Turn Into You: Everasking Edition",,
6,Christine and the Queens,I disappear in your arms,,La vita nuova,,
7,Talk Talk,It’s My Life (Remastered 1997),,It’s My Life (Remastered 1997),,
8,Public Service Broadcasting,The Race For Space (instrumental),,The Race For Space (instrumentals),,
9,Public Service Broadcasting,Go!,,The Race For Space,,
10,Lykke Li,I Follow Rivers – The Magician Remix,,De Maxx Long Player 24,,
11,Tears For Fears,Listen – Clean Intro,,Songs From The Big Chair (Super Deluxe Edition),,
12,Brothertiger,Everybody Wants to Rule the World,,Brothertiger Plays: Tears for Fears’ Songs from the Big Chair,,
13,Sky Cries Mary,Deep River,,Moon Bathing On Sleeping Leaves,,
14,Pink Floyd,One of These Days,,Meddle,,
15,Mildlife,Yourself,,Yourself,,
16,Lane Lines,Hard to Breathe,,Cancelled Plans,,
17,Hello Meteor,Rain at the Marina,,The Turn After a Storm,,
18,Talk Talk,Inheritance – 1997 Remaster,,Spirit of Eden,,
19,Daryl Groetsch,Above the Shore (Radio Edit),,Above the Shore,,
20,Cartas de Japón,Chapadmalal,,Santa Clara,,
21,Steve Roach & Robert Rich,Soma Waves,,Waves of Now,,
22,Intervales,Balm of Gilead,,Balm of Gilead,,
23,Laraaji,Ocean (Glimpse),,Ocean,,
24,Talk Talk,The Rainbow (excerpt),,Spirit of Eden,,
