position,artist,song,time,album,label,notes
1,Michael Weber,Itamae,00:00,,,
2,Michael Weber,Omakase,01:16,,,
3,Mt Fog,Ingot in the Dark,04:45,,,
4,Hello Meteor,Talking Skies,11:13,,,
5,Hello Meteor,Weird Dreams Last Night (Cryosleep Hangover),13:57,,,
6,Midnight High,Avenue,16:29,,,
7,FM Attack feat. Vandal Moon,Séance,20:51,,,
8,New Order,Ceremony [Alternate 12″ Version],25:07,,,
9,LEATHERS,Crash,29:32,,,
10,Boy Harsher,Give Me a Reason,34:08,,,
11,LCD Soundsystem,Someone Great,39:24,,,
12,WMD,Ambrose,45:51,,,
13,Lane Lines,Time & Space,51:49,,,
14,LIGHTSPEAR,System,55:49,,,
15,Alex Johnston,Back And Forth,59:12,,,
16,Style King of the Week,Mt. Hope Reservoir,01:03:13,,,
17,EarthtoneSkytone,Chickachick,01:08:03,,,
18,Signer,338,01:11:50,,,
19,Thom Brennan,Wavemaker Pt 2 (excerpt),01:17:32,,,
20,Steve Roach,Structures From Silence - Live 2019,01:30:19,,,
21,Domenica Diavoleria,Fun Forest,01:35:08,,,
22,Secret Pyramid,Part VII,01:46:03,,,
23,Noel Brass Jr.,Threaded from a Distance,01:55:31,,,
