position,artist,song,time,album,label,notes
1,Nancy Rumbel,Tree of Life,00:00,,,
2,Faten Kanaan,Trenchcoat,07:00,,,
3,Constance Demby,Waltz Of Joy,09:10,,,
4,Carol Nethen,Island Moon,13:40,,,
5,Sign Libra,Petrichor - Bonus Track,19:22,,,
6,Stephanie Sante,Jade Resonance,24:47,,,
7,Suzanne Ciani,AT&T Logo,29:35,,,
8,Suzanne Ciani,Clean Room,29:44,,,
9,Suzanne Ciani,Hot Streak,32:34,,,
10,Doris Norton,Norton Apple Software,34:21,,,
11,Pauline Anna Strom,Alpine Flight,38:03,,,
12,Wendy Carlos,I.C. (Intergalactic Communications),45:32,,,
13,Enya,Orinoco Flow,49:00,,,
14,Patricia Wolf,The Culmination Of,53:25,,,
15,Siren and the Sea,Probably Hawai’i,01:00:00,,,
16,Ann Annie,Upstream,01:03:19,,,
17,Lisa Bella Donna,Cosmotopia,01:06:56,,,
18,Julianna Barwick & Mary Lattimore,Canyon Lights,01:17:38,,,
19,Domenica Diavoleria,Book of Postcards,01:21:26,,,
20,Grouper,Driving,01:25:24,,,
21,Saloli,Nighthawk,01:29:03,,,
22,Suzanne Ciani & Kaitlyn Aurelia Smith,Retrograde,01:36:17,,,
23,Raica,Entridam,01:52:34,,,
