position,artist,song,time,album,label,notes
1,Panabrite,Dune,00:00,,,
2,David Bowie,Lazarus,16:25,,,
3,EarthtoneSkytone,"Two Sides, One Reflection",24:16,,,
4,Vijay Iyer Trio,Chorale,28:12,,,
5,Mary Halvorson,Amaryllis,32:37,,,
6,Afrocop,Mantis Revolver,41:13,,,
7,King Gizzard & The Lizard Wizard,Theia,47:13,,,
8,King Gizzard & The Lizard Wizard,The Silver Cord,50:33,,,
9,Mildlife,Future Life,54:57,,,
10,Ascendant,Adorations of the Void,59:29,,,
11,AeTopus,Clean Break,01:06:21,,,
12,Perge,Calybration,01:09:53,,,
13,Colin Chin,The Playbook,01:17:38,,,
14,Klaus Schulze,Osiris - Pt. 1,01:20:01,,,
15,IKSRE,dawn in a foreign city,01:26:23,,,
16,Lori Goldston & Stefan Christoff,A view of the Pacific Ocean from a roof at 6am,01:31:05,,,
17,Andy Aquarius,Golla,01:37:13,,,
18,Psychic Temple,Music for Airports 1/1,01:46:05,,,
