position,artist,song,time,album,label,notes
1,Camp of Wolves,"The Beckoning Hand Was In Reality, Flame",,,,
2,Mt. Fog,Drifting,,,,
3,Tune-Yards,Hypnotize,,,,
4,Deafheaven,Great Mass of Color,,,,
5,Midnight High,Do It To Me,,,,
6,Death Cab for Cutie,Northern Lights (feat. Lauren Mayberry of CHVRCHES),,,,
7,Chromatics,Ceremony (feat. Glass Candy),,,,
8,ACTORS,In Real Life,,,,
9,Caroline Polachek & Oneohtrix Point Never,Billions,,,,
10,Shannon Hayden,After All,,,,
11,Flying Lotus,Your Lord,,,,
12,The Home Current,Because Tangled,,,,
13,Arushi Jain,Imagine an Orchestra,,,,
14,Tineidae & Sole Massif,Data Stream Conjunction,,,,
15,Echo of the Low Light,Shipwreck,,,,
16,Gwenno,NYACW – The lonely summer-mix by JDBRADFIELD,,,,
17,Still Corners,Secret World,,,,
18,Conjure One,Manic Star,,,,
19,MICADO,Sculptures in Glass,,,,
20,"Visible Cloaks, Yoshio Ojima & Satsuki Shibano",Atelier,,,,
21,Andy Sells & Noel Brass Jr.,Further Latitude,,,,
22,Loscil,First Narrows,,,,
23,Drab Majesty,Yield to Force,,,,
