position,artist,song,time,album,label,notes
1,Dreamstate Logic,Andromeda Terminal,00:00,,,
2,Bart Hawkins,Bell Curve Blips (excerpt),08:24,,,
3,Transponder,Prelude to Prophecy,12:50,,,
4,Hello Meteor,The Northern Rim Archipelago,18:52,,,
5,SUSS,Flight,22:50,,,
6,Arbol Perenne (Gabo),Preludio S:N,28:39,,,
7,Suzanne Ciani,Eclipse,30:36,,,
8,Suzanne Ciani,Eclipse,32:13,,,
9,Michael Whalen,Watercolor Sky,35:39,,,
10,Doug Cameron,The Journey,42:20,,,
11,Pat Metheny Group,Phase Dance,47:00,,,
12,Avi C. Engel,The Oven Bird’s Song,56:20,,,
13,Dead Can Dance,Rakim (Live) [Remastered],01:01:12,,,
14,Lycia,A Failure,01:07:05,,,
15,Drab Majesty,Induction,01:12:03,,,
16,Drab Majesty,Dot in the Sky,01:14:27,,,
17,Small Black,Tampa,01:19:56,,,
18,Turn On The Sunlight,Miles and Miles of Ocean (feat. Laraaji),01:24:40,,,
19,Arbol Perenne (Gabo),Era Venus,01:27:24,,,
20,Nova Pon & Turning Point Ensemble,Symphonies of Mother and Child - V. Eternity’s Sun Rise,01:30:51,,,
21,Rudy Adrian,Reflections on a Moonlit Lake,01:41:58,,,
22,Lisa Bella Donna,Dawn Of a New Age,01:46:55,,,
