position,artist,song,time,album,label,notes
1,Somesurprises,Be Reasonable,00:00,,,
2,ACTORS,L’appel Du Vide,06:41,,,
3,Frankie Rose,A Reflection,09:41,,,
4,Frankie Rose,Play for Today,11:46,,,
5,The Cure,A Forest,15:21,,,
6,CHVRCHES,How Not To Drown (feat. Robert Smith),20:12,,,
7,Dark Chisme,Beautiful Obsession Killer,26:01,,,
8,Sisters Of Mercy,Dominion Mother Russia,,,,
9,Pastel Beach,Point Cambria,39:03,,,
10,FM Skyline,Fresnel,42:26,,,
11,Hello Meteor,Nightly Review,45:13,,,
12,Cartas de Japón,Camet,49:55,,,
13,Ascendant,Astral Nexus,01:00:04,,,
14,Norm Chambers,Viper Street,01:08:04,,,
15,New Frontiers,Emergent Evolution,01:12:01,,,
16,WMD,Jenny Llewellyn,01:18:00,,,
17,Sigur Rós,Gold,01:22:22,,,
18,Domenica Diavoleria,Tress,01:27:45,,,
19,Antonio Zepeda,Brisa,01:32:01,,,
20,Marine Eyes,night palms sway,01:37:08,,,
21,"Loscil, Lawrence English",Sienna,01:41:35,,,
22,Daryl Groetsch,Above the Shore (Radio Edit),01:45:18,,,
23,darungara,Leaving Home,01:50:27,,,
24,Soothsayer (aka Omni Gardens),V,01:51:13,,,
25,Thom Brennan,"Elysian Fields, Pt. 1",01:55:32,,,
