position,artist,song,time,album,label,notes
1,NAVVI,IV,,,,
2,Jorja Smith,Rose Rouge,,,,
3,Tara Clerkin Trio,Turning Ground,,,,
4,Pure Bathing Culture,Black Starling,,,,
5,Natalie Prass,Short Court Style,,,,
6,Tame Impala,No Choice,,,,
7,Cowboy Junkies,The Summer of Discontent,,,,
8,Mt. Fog,Slowly Morphing,,,,
9,Shannon Hayden,After All,,,,
10,Faten Kanaan,Votice,,,,
11,Erik Wøllo,Equator,,,,
12,S1gns of L1fe,Alchemy of the Infinite,,,,
13,Robert ÆOLUS Myers,No Where to Run,,,,
14,Meridian Arc,Assimilation,,,,
15,Jesse Beaman,Track 6,,,,
16,Paul Ellis,Waves for Durga,,,,
17,Kitaro,Reincarnation,,,,
18,Cool Maritime,Temporal Dryft,,,,
19,Shadowfax,New Electric India,,,,
20,Color of Time,When Will We Learn?,,,,
21,Etelin,The Chemistry of Dirt,,,,
22,John Scott Shepherd,Gental Thoughts,,,,
23,latome2,The Left Hand of Darkness,,,,
