position,artist,song,time,album,label,notes
1,Hello Meteor,Breeze Bay,00:00,,,
2,Jan Hammer,Crockett’s Theme,05:04,,,
3,FM Attack,Fade Away (with Julian Sanza),08:40,,,
4,Small Black,Tampa,14:41,,,
5,Orbital,The Girl With The Sun In Her Head,19:56,,,
6,Style King of the Week,Cheapcross,30:24,,,
7,FCS North,Blue White Blue,33:15,,,
8,EarthtoneSkytone,Chichachick,44:20,,,
9,Pat Metheny,Bright Size Life,48:03,,,
10,Afrocop,Rare Belief,52:48,,,
11,Mildlife,Return To Centaurus,58:17,,,
12,Matthew Halsall,Earth Fire,01:07:49,,,
13,Rachel Therrien Quintet,Why Don’t You Try,01:13:23,,,
14,Herbie Hancock,You’ve Got It Bad Girl,01:18:31,,,
15,Charles David Denler,Reflections on the Eternal,01:25:40,,,
16,Pabellón Sintético,Lightness and brightness,01:28:10,,,
17,Paul Speer & David Lanz,Eagle’s Path,01:36:52,,,
18,Ralph Towner,Nimbus,01:44:14,,,
19,Checkfield,Through the Lens,01:50:34,,,
20,Eric Tingstad/Nancy Rumbel,The Merced,01:55:11,,,
21,Clannad,Newgrange (2003 - Remaster),01:58:16,,,
22,Dead Can Dance,"The Ubiquitous Mr. Lovegrove - Live from Paramount Theatre, Seattle, WA. September 17th, 2005",02:02:11,,,
23,Shannon Hayden,Zero Resistance,02:07:07,,,
24,Portishead,Roads,02:12:25,,,
25,Mount Maxwell,Littlefolk,02:17:05,,,
26,Brass Clouds,Bow Out,02:24:58,,,
27,David Arkenstone,Valley In the Clouds,02:28:43,,,
28,St∆er,Manifold,02:32:44,,,
29,Redshift,Soft Summer Rain,02:48:11,,,
30,Vangelis,Opening,02:58:14,,,
31,Vangelis,Conquest Of Paradise,02:59:34,,,
32,Tangerine Dream,Cherokee Lane - Live From U.S.A Tour 1977,03:04:23,,,
33,Max Richter & Ben Russell,Constellation 1,03:20:37,,,
34,Terminus Void,APEIRON Pt 1 & 2,03:27:37,,,
35,Chuck van Zyl,Ganymede,03:39:25,,,
36,Norm Chambers,Music for the Dome (excerpt),03:59:25,,,
37,Sin Fang,Missed call,04:28:03,,,
38,Max Richter & Ben Russell,Constellation 2,04:35:30,,,
39,Laraaji,Bethlehem (Glimpse),04:51:23,,,
40,Siren and the Sea,The Large Floating Vessel,04:57:15,,,
41,"Loscil, Lawrence English",Ultramarine,05:01:15,,,
42,Gallery Six,The Summer Banquet,05:06:21,,,
43,Visible Cloaks,Lapis Lazuli,05:12:44,,,
44,Benoît Pioulard,Flowers growing from me [for GRM],05:21:55,,,
45,High Plains,The Dusk Pines,05:27:58,,,
46,marine eyes,doorways,05:34:00,,,
47,Colin Chin,The Alluvial Plains,05:37:50,,,
48,Will Ackerman,The Golden Hour,05:45:01,,,
49,Masako,Brooks and Cascades,05:49:52,,,
50,ODESZA,This Version Of You (feat. Julianna Barwick),05:54:45,,,
